conceptType,conceptUri,broaderType,broaderUri
SkillGroup,http://data.europa.eu/esco/isced-f/00,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/000,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0000,SkillGroup,http://data.europa.eu/esco/isced-f/000
SkillGroup,http://data.europa.eu/esco/isced-f/001,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0011,SkillGroup,http://data.europa.eu/esco/isced-f/001
SkillGroup,http://data.europa.eu/esco/isced-f/002,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0021,SkillGroup,http://data.europa.eu/esco/isced-f/002
SkillGroup,http://data.europa.eu/esco/isced-f/003,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0031,SkillGroup,http://data.europa.eu/esco/isced-f/003
SkillGroup,http://data.europa.eu/esco/isced-f/009,SkillGroup,http://data.europa.eu/esco/isced-f/00
SkillGroup,http://data.europa.eu/esco/isced-f/0099,SkillGroup,http://data.europa.eu/esco/isced-f/009
SkillGroup,http://data.europa.eu/esco/isced-f/01,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/011,SkillGroup,http://data.europa.eu/esco/isced-f/01
SkillGroup,http://data.europa.eu/esco/isced-f/0110,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0111,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0112,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0113,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0114,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/0119,SkillGroup,http://data.europa.eu/esco/isced-f/011
SkillGroup,http://data.europa.eu/esco/isced-f/018,SkillGroup,http://data.europa.eu/esco/isced-f/01
SkillGroup,http://data.europa.eu/esco/isced-f/0188,SkillGroup,http://data.europa.eu/esco/isced-f/018
SkillGroup,http://data.europa.eu/esco/isced-f/02,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/020,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0200,SkillGroup,http://data.europa.eu/esco/isced-f/020
SkillGroup,http://data.europa.eu/esco/isced-f/021,SkillGroup,http://data.europa.eu/esco/isced-f/02
SkillGroup,http://data.europa.eu/esco/isced-f/0210,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0211,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0212,SkillGroup,http://data.europa.eu/esco/isced-f/021
SkillGroup,http://data.europa.eu/esco/isced-f/0213,SkillGroup,http://data.europa.eu/esco/isced-f/021
