conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description;
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,Musikpersonal verwalten,,,released,2023-11-30T15:53:37.136Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Zuweisen und Verwalten der Aufgaben des Personals in Bereichen wie Komposition, Arrangement, Kopieren von Musik und Gesangsunterricht.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,Strafvollzugsverfahren beaufsichtigen,,,released,2023-11-30T15:04:00.689Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Überwachen des Betriebs einer Justizvollzugsanstalt oder anderer Strafvollzugsverfahren, um sicherzustellen, dass die Rechtsvorschriften angewendet und vom Personal eingehalten werden, sowie Verbessern der Effizienz und Sicherheit der Haftanstalt.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,nicht unterdrückende Praktiken anwenden,,,released,2023-11-28T10:45:53.54Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Ermitteln von Repressionen in Gesellschaften, Volkswirtschaften, Kulturen und Gruppen, professionelles Handeln auf nichtrepressive Weise, Befähigen der Nutzer von Dienstleistungen, tätig zu werden, um ihr Leben zu verbessern, und der Bürger, ihr Umfeld entsprechend ihren eigenen Interessen zu verändern.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,Einhaltung von Vorschriften von Eisenbahnfahrzeugen überprüfen,,,released,2023-11-30T16:29:18.273Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Kontrollieren von Fahrzeugen, Komponenten und Systemen, um die Einhaltung von Normen und Spezifikationen zu gewährleisten.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,verfügbare Dienste ermitteln,,,released,2023-11-28T10:38:49.206Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
"http://data.europa.eu/esco/concept-scheme/skills"",""Ermitteln der verschiedenen verfügbaren Dienste, die einem Straftäter während seiner Bewährungszeit offenstehen, um den Rehabilitierungs- und Wiedereingliederungsprozess zu unterstützen, sowie Beraten der Täter, wie sie die ihnen zur Verfügung stehenden Dienstleistungen ermitteln können.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,toxikologische Studien durchführen,,,released,2023-11-30T15:10:42.752Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",""Durchführen von Tests zum Nachweis von Giften oder Drogenmissbrauch und Unterstützen der Therapieüberwachung durch den Einsatz von chemischen Reagenzien, Enzymen, Radioisotopen und Antikörpern, um ungewöhnliche chemische Konzentrationen im Körper zu erkennen.""";
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,Einheitlichkeit von Kokillen gewährleisten,,,released,2023-11-30T16:49:26.078Z,,,""http://data.europa.eu/esco/concept-scheme/skills,";
"http://data.europa.eu/esco/concept-scheme/member-skills"",Überwachen der Einheitlichkeit von Kokillen"; Verwenden von Gießmaschinen und Werkzeugen wie Schweißgeräten.
"KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,,released,2023-11-30T16:13:21.77Z,,,""http://data.europa.eu/esco/concept-scheme/member-skills,";
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,;
"http://data.europa.eu/esco/concept-scheme/skills"",""Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Tests und Zusammenstellen von Programmparadigmen in Haskell.""";
