id;file_name;source;posting_date;year;month;quarter;job_title;company_name;company_branch;location;job_categories;competences_count;competences;char_count;word_count;extraction_quality;remote_option;text_quality
9fd3573ff0d2;Web Analyst_-in - Job bei Bayerischer Rundfunk in München.pdf;local;;;;;Web Analyst  in   Job bei Bayerischer Rundfunk in München;Unbekannt;;München;Other;1;"[{""name"": ""Java"", ""category"": ""Programming Language"", ""type"": ""language"", ""esco_uri"": ""esco:skill/java""}]";2915;317;0.35;;1.0
1d07cf276c31;Projektmanager (m_w) E-Commerce - Job bei Motel One GmbH in München.pdf;local;;;;;Projektmanager (m w) E Commerce   Job bei Motel One GmbH in München;Motel One GmbH;IT & Software;München;UX/UI Design;1;"[{""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}]";3479;388;0.75;;1.0
d825083ac7fe;(4) Senior Consultant Digitalisierung & Strategie (m_w_d) _ Sopra Steria _ LinkedIn.pdf;local;;;;;(4) Senior Consultant Digitalisierung & Strategie (m w d)   Sopra Steria   LinkedIn;Unbekannt;;Remote;Business Analysis;0;;10834;1259;0.35;hybrid;1.0
2d68d18c5309;(8) Consultant_Project Manager für Digitalisierung (m_w_d) _ societec _ LinkedIn.pdf;local;;;;;(8) Consultant Project Manager für Digitalisierung (m w d)   societec   LinkedIn;Unbekannt;;Remote;Business Analysis;1;"[{""name"": ""User Interviews"", ""category"": ""Research Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/user-interviews""}]";10942;1247;0.55;hybrid;1.0
2ec4787b9f3f;Product Owner UX (m_w_d) - vorerst befristet mit möglicher Perspektive - konversionsKRAFT.pdf;local;;;;;Product Owner UX (m w d)   vorerst befristet mit möglicher Perspektive   konversionsKRAFT;Unbekannt;;Berlin;UX/UI Design, Product Management;0;;13821;1656;0.3;hybrid;0.9
c49c44c00bc7;(1) Projektkoordinator (m_w_d) Digital Transformation _ IBB Institut für Berufliche Bildung AG _ LinkedIn.pdf;local;;;;;(1) Projektkoordinator (m w d) Digital Transformation   IBB Institut für Berufliche Bildung AG   Li;Berufliche Bildung AG;IT & Software;Hamburg (Remote möglich);Agile Coaching;1;"[{""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}]";9963;1169;0.75;hybrid;1.0
a5b537f96ae0;(Senior) Agile Coach Consultant - Hybrid (m:w:d).pdf;local;;;;;(Senior) Agile Coach Consultant   Hybrid (m:w:d);Randstad Digital Germany AG;IT & Software;Hamburg;UX/UI Design, Business Analysis, Agile Coaching;5;"[{""name"": ""Scrum"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/scrum""}, {""name"": ""Kanban"", ""category"": ""Agile Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/kanban""}, {""name"": ""SAFe"", ""category"": ""Agile Framework"", ""type"": ""framework"", ""esco_uri"": ""esco:skill/safe""}, {""name"": ""Design Thinking"", ""category"": ""Design Method"", ""type"": ""method"", ""esco_uri"": ""esco:skill/design-thinking""}, {""name"": ""Docker"", ""category"": ""Container"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/docker""}]";9226;1031;0.85;hybrid;1.0
08c00e0bd44c;Projektmanager (m_w) Digitale Medien - Job bei Springer Fachmedien München GmbH in Großraum Stuttgart, München.pdf;local;;;;;Projektmanager (m w) Digitale Medien   Job bei Springer Fachmedien München GmbH in Großraum Stuttga;Springer Fachmedien München GmbH;IT & Software;München;Other;0;;3135;352;0.35;;1.0
8b1ff9dd8756;(Senior) Content Manager E-Commerce (m_w) - Job bei Marc O_Polo Einzelhandels GmbH in Stephanskirchen Raum München.pdf;local;;;;;(Senior) Content Manager E Commerce (m w)   Job bei Marc O Polo Einzelhandels GmbH in Stephanskirche;Polo Einzelhandels GmbH;IT & Software;München;Other;1;"[{""name"": ""HTML5"", ""category"": ""Web Technology"", ""type"": ""technology"", ""esco_uri"": ""esco:skill/html5""}]";2517;273;0.5;onsite;1.0
b615bd94ed9a;Spezialist (m_w) Digitalisierung - Job bei LBS Bayerische Landesbausparkasse Anstalt des öffentlichen Rechts in München.pdf;local;;;;;Spezialist (m w) Digitalisierung   Job bei LBS Bayerische Landesbausparkasse Anstalt des öffentlich;Unbekannt;;München;Other;0;;3850;414;0.2;;1.0
